algorithm,label,communication_scalars_per_step_mean,communication_scalars_per_step_sem,items_per_episode_mean,items_per_episode_sem,items_per_1k_scalars,pareto_front
teamcomm,TeamComm,1970.0275473035017,143.30668981965243,4.503333333333333,0.7781245258811585,2.2859240417715596,true
dlpac_sparse_k2,DL-PDAC sparse (k=2),6196.186405353715,0.4550346462850333,5.2366666666666655,0.12170090842352461,0.8451435002249138,true
dlpac_full,DL-PDAC full,16400.356073414456,1.4230620366146165,5.206666666666667,0.0993870101058373,0.3174727818932452,false
