method,reward_mean,reward_sem,episode_violation_percent_mean,episode_violation_percent_sem,episodes,seeds,final_step_violation_percent_mean,final_step_violation_percent_sem,best_test_episode_violation_percent_mean,best_test_episode_violation_percent_sem,notes
DL-PDAC,1018.7,1.2,4.75,0.09,1500,10,,,,,"Aligned n=20 discrete-navigation comparison"
Scal-MAPPO-L reproduction,943.10,57.77,11.00,7.37,1500,10,10.34,6.95,9.00,6.05,"Aligned reproduction with k=1, magnitude constraint costs, and cost limit 0.05"
